ROWNUM,object_id,+PRIVILEGES,project_id,Data.AxisNumber,Data.CompressionAlgorithm,Data.DataLength,Data.DataSize,Data.ImgNumber,Data.InstrumentMode,Data.ObservationMode,Data.OnBoardSoftwareVersion,Data.PlanningId,Data.SimInputConfId,Data.VisNominalChain,Data.VisSequence,Data.VisSequenceEndTime,Data.ObservationDateTime.MJD,Data.ObservationDateTime.OBT,Data.ObservationDateTime.UTC,Data.FrameFitsFile.Format,Data.FrameFitsFile.Version,Data.ExposureTime.Unit,Data.ExposureTime.Value,Data.FrameFitsFile.DataContainer.ChecksumMethod,Data.FrameFitsFile.DataContainer.ChecksumValue,Data.FrameFitsFile.DataContainer.FileName,Data.FrameFitsFile.DataContainer.Filestatus,OBJECT_ID$
440,0221FA8A8944E7E2E0632F061AAC2384,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",12336,,"false","Nominal/Short",1970-02-04 01:39:45.889000,60160.40008353493,1970-02-04 01:29:01.084000,2023-08-04 09:36:07.217418,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-00000-1-E_20230804T093603.000000Z_01_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
441,022203DFCD36F397E0632F061AAC9580,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",12337,,"false","Nominal/Short",1970-02-04 01:57:28.758000,60160.412386797034,1970-02-04 01:46:44.084000,2023-08-04 09:53:50.219264,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-00000-1-E_20230804T095346.000000Z_01_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
442,0222143437C80D26E0632F061AACED15,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",12545,,"false","Nominal/Short",1970-02-04 03:25:39.225000,60160.47676190883,1970-02-04 03:19:26.084000,2023-08-04 11:26:32.228923,"le1.visRawImage","0.2","s",289.0,,,"EUC_LE1_VIS-00000-1-E_20230804T112629.000000Z_01_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
443,02221D0D091F1872E0632F061AAC7358,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",12544,,"false","Nominal/Short",1970-02-04 03:19:10.200000,60160.47225958618,1970-02-04 03:12:57.083000,2023-08-04 11:20:03.228246,"le1.visRawImage","0.2","s",289.0,,,"EUC_LE1_VIS-00000-1-E_20230804T112000.000000Z_01_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
444,02222EAC216C3063E0632F061AACD26B,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",12547,,"false","Nominal/Short",1970-02-04 03:38:37.228000,60160.4857665541,1970-02-04 03:32:24.084000,2023-08-04 11:39:30.230274,"le1.visRawImage","0.2","s",289.0,,,"EUC_LE1_VIS-00000-1-E_20230804T113927.000000Z_01_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
445,02223FAD49464674E0632F061AAC0025,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",12549,,"false","Nominal/Short",1970-02-04 03:51:35.283000,60160.49477119937,1970-02-04 03:45:22.084000,2023-08-04 11:52:28.231625,"le1.visRawImage","0.2","s",289.0,,,"EUC_LE1_VIS-00000-1-E_20230804T115225.000000Z_01_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
446,02224FB1C80A61B4E0632F061AAC3B1F,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","CALIBRATION","3.1.2",12339,,"false","FlatField",1970-02-04 02:40:02.188000,60160.44840537809,1970-02-04 02:38:36.083000,2023-08-04 10:45:42.224667,"le1.visRawImage","0.2","s",2.0,,,"EUC_LE1_VIS-00000-1-E_20230804T102910.000000Z_02_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
447,0222576414936C50E0632F061AACDB51,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",12333,,"false","Nominal/Short",1970-02-04 00:51:11.725000,60160.371808022865,1970-02-04 00:48:18.084000,2023-08-04 08:55:24.213175,"le1.visRawImage","0.2","s",89.52,,,"EUC_LE1_VIS-00000-1-E_20230804T084042.000000Z_02_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
448,022271970B788FACE0632F061AACD4EA,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",12552,,"false","Nominal/Short",1970-02-04 04:11:02.230000,60160.50827816727,1970-02-04 04:04:49.084000,2023-08-04 12:11:55.233652,"le1.visRawImage","0.2","s",289.0,,,"EUC_LE1_VIS-00000-1-E_20230804T121152.000000Z_01_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
449,02227A3908D09AF8E0632F061AAC7872,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",12554,,"false","Nominal/Short",1970-02-04 04:24:00.230000,60160.517282812536,1970-02-04 04:17:47.084000,2023-08-04 12:24:53.235003,"le1.visRawImage","0.2","s",289.0,,,"EUC_LE1_VIS-00000-1-E_20230804T122450.000000Z_01_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
