file	start	end	score	x_median_std_pec1	y_median_std_pec1	x_median_drift_pec1	y_median_drift_pec1	x_median_std_pec2	y_median_std_pec2	x_median_drift_pec2	y_median_drift_pec2	x_std	y_std	z_std
C_20230824T232738.000000Z_01	2023-08-24 23:27:39.369982	2023-08-24 23:36:59.889982	2.9	0.1792819085238884	0.1706008903894182	0.0003140744803604365	-0.00016053557344407197	0.18178616985464585	0.1846324116313082	0.0002749955828997897	-0.00013787606211949864	19.275716502304622	22.5851582095173	198.16950119918275
C_20230824T232738.000000Z_02	2023-08-24 23:42:17.371540	2023-08-24 23:43:46.891540	4.4	0.1511014477097903	0.07280618105628556	0.004416011630857364	0.0019590286859535334	0.14298098595176534	0.09025756201009988	0.004301781030512997	0.0022955254244915323	5.614647963042092	13.867521233733072	41.67918874844567
C_20230824T234520.000000Z_01	2023-08-24 23:45:21.371867	2023-08-24 23:54:41.891867	4573.51	1.9166370772091874	5.088241382321669	-0.006068340282368771	-0.02899234098945649	2.571891633957868	5.110222865757705	-0.01096296496162334	-0.02916490253585537	206.86812780578572	194.89583196703964	4492.483368300486
C_20230825T000302.000000Z_01	2023-08-25 00:03:03.373751	2023-08-25 00:12:23.893751	4837.1	nan	nan	nan	nan	nan	nan	nan	nan	121.57706494186402	182.15874315115707	279.8958490857059
C_20230825T002238.000000Z_01	2023-08-25 00:23:01.375876	2023-08-25 00:32:21.895876	2330.86	0.6073105908546388	1.673882051486739	-0.0007005174984182179	0.0006608085331522772	0.6311234708228102	1.6860324343772153	0.0003065550727068253	0.0006858642044280145	130.26183829403487	61.299034169202685	1082.1418712899563
C_20230825T002238.000000Z_02	2023-08-25 00:37:39.377434	2023-08-25 00:39:08.897434	1.33	0.062216849385157244	0.1829031984735979	0.0009927498800439204	0.006212756467318773	0.0867782119006722	0.18753146394740486	0.0015449229351139583	0.006677452870881529	19.16238543039426	10.14000495683323	143.05804365847948
C_20230825T004042.000000Z_01	2023-08-25 00:40:43.377762	2023-08-25 00:50:03.897762	4551.82	nan	nan	nan	nan	nan	nan	nan	nan	384.9464022894977	506.99727572768927	1851.1947805155924
C_20230825T004042.000000Z_02	2023-08-25 00:55:21.379320	2023-08-25 00:56:50.899320	2281.45	nan	nan	nan	nan	nan	nan	nan	nan	4930.5708236981245	1085.456592516452	692.0506620041515
C_20230825T005824.000000Z_01	2023-08-25 00:58:25.379646	2023-08-25 01:07:45.899646	6925.59	nan	nan	nan	nan	nan	nan	nan	nan	262.16634391604305	249.27688231090644	745.1534356727236
C_20230825T011606.000000Z_01	2023-08-25 01:16:07.381530	2023-08-25 01:25:27.901530	578.89	nan	nan	nan	nan	nan	nan	nan	nan	182.37688649041917	260.00751788571245	1101.3877190514
C_20230825T013542.000000Z_01	2023-08-25 01:36:05.383656	2023-08-25 01:45:25.903656	2244.53	1.063734196938814	1.5394305025931092	-0.005168830261978228	-0.012572452057356916	1.0635372808441623	1.545504205666335	-0.005081770587995917	-0.012621052472508726	1907.6085202592615	617.4512398483685	378.7614546938006
C_20230825T013542.000000Z_02	2023-08-25 01:50:43.385213	2023-08-25 01:52:12.905213	3337.76	nan	nan	nan	nan	nan	nan	nan	nan	5203.3436119615135	1165.7842197945643	895.3687588359809
C_20230825T015346.000000Z_01	2023-08-25 01:53:47.385541	2023-08-25 02:03:07.905541	4930.27	1.9743956153811841	0.8996789286799756	-0.011209553960941289	0.00330071173272451	2.0224650663260118	0.9109940280197122	-0.01165396561995176	0.003447498666849257	121.44127532110954	24.671012522442815	181.59706786503813
C_20230825T015346.000000Z_02	2023-08-25 02:08:25.387098	2023-08-25 02:09:54.907098	10781.83	nan	nan	nan	nan	nan	nan	nan	nan	4877.6451333487175	834.1478441856301	614.0350874656654
C_20230825T021128.000000Z_01	2023-08-25 02:11:29.387425	2023-08-25 02:20:49.907425	2781.73	nan	nan	nan	nan	nan	nan	nan	nan	1993.7991058747034	1364.2812302884918	5718.501707693577
C_20230825T022910.000000Z_01	2023-08-25 02:29:11.389310	2023-08-25 02:38:31.909310	5125.86	nan	nan	nan	nan	nan	nan	nan	nan	446.7473617101305	393.54511984519013	478.92896475888693
C_20230825T024846.000000Z_01	2023-08-25 02:49:09.391436	2023-08-25 02:58:29.911436	777.96	nan	nan	nan	nan	nan	nan	nan	nan	1958.2892247578866	618.8770242949636	260.9317294305615
C_20230825T024846.000000Z_02	2023-08-25 03:03:47.392993	2023-08-25 03:05:16.912993	11205.97	nan	nan	nan	nan	nan	nan	nan	nan	5341.900348477364	1305.368318679223	365.36113574620083
C_20230825T030650.000000Z_01	2023-08-25 03:06:51.393320	2023-08-25 03:16:11.913320	698.04	nan	nan	nan	nan	nan	nan	nan	nan	513.2385179137178	354.37775966089004	265.66983157617506
C_20230825T030650.000000Z_02	2023-08-25 03:21:29.394877	2023-08-25 03:22:58.914877	11756.62	nan	nan	nan	nan	nan	nan	nan	nan	4817.478353628174	1210.0419577471869	874.1559417407697
C_20230825T032432.000000Z_01	2023-08-25 03:24:32.395203	2023-08-25 03:33:52.915203	9013.06	nan	nan	nan	nan	nan	nan	nan	nan	211.700005945674	241.39448464806966	954.8875612639062
C_20230825T034214.000000Z_01	2023-08-25 03:42:14.397087	2023-08-25 03:51:34.917087	1552.64	nan	nan	nan	nan	nan	nan	nan	nan	106.45865209871701	201.2469327271071	205.26194576821194
C_20230825T040150.000000Z_01	2023-08-25 04:02:12.399213	2023-08-25 04:11:32.919213	967.2	nan	nan	nan	nan	nan	nan	nan	nan	1983.0783121141485	633.5089227227435	238.8112955308748
C_20230825T040150.000000Z_02	2023-08-25 04:16:50.400771	2023-08-25 04:18:19.920771	11657.95	nan	nan	nan	nan	nan	nan	nan	nan	5444.250788803028	1343.8666261912476	261.8536152936255
C_20230825T041954.000000Z_01	2023-08-25 04:19:54.401098	2023-08-25 04:29:14.921098	1566.81	nan	nan	nan	nan	nan	nan	nan	nan	299.72898437889955	388.6566758093006	1180.359263092145
C_20230825T041954.000000Z_02	2023-08-25 04:34:32.402655	2023-08-25 04:36:01.922655	5749.41	nan	nan	nan	nan	nan	nan	nan	nan	5266.7325772296645	1131.1402055604703	292.96065677664586
C_20230825T043736.000000Z_01	2023-08-25 04:37:36.402982	2023-08-25 04:46:56.922982	875.55	28.189884250797302	3.125750266897384	nan	nan	1.093369103800141	0.905200006690244	nan	nan	122.91975609252165	205.23784309217135	264.9897517806005
C_20230825T045518.000000Z_01	2023-08-25 04:55:18.404866	2023-08-25 05:04:38.924866	4985.97	nan	nan	nan	nan	nan	nan	nan	nan	538.2887936208934	405.8085457241847	299.74054708011215
C_20230825T051454.000000Z_01	2023-08-25 05:15:16.406992	2023-08-25 05:24:36.926992	1062.45	nan	nan	nan	nan	nan	nan	nan	nan	1989.53480714377	613.5123239234742	227.47614267092192
C_20230825T051454.000000Z_02	2023-08-25 05:29:54.408549	2023-08-25 05:31:23.928549	12012.35	nan	nan	nan	nan	nan	nan	nan	nan	5668.846636228088	1126.4124296293635	151.6541033827313
C_20230825T053258.000000Z_01	2023-08-25 05:32:58.408877	2023-08-25 05:42:18.928877	3408.8	nan	nan	nan	nan	nan	nan	nan	nan	310.5953814689578	322.34323560432904	1209.9239465999642
C_20230825T053258.000000Z_02	2023-08-25 05:47:36.410434	2023-08-25 05:49:05.930434	29.05	nan	nan	nan	nan	nan	nan	nan	nan	5142.4187309838535	1291.743006741243	422.1482307558404
C_20230825T055040.000000Z_01	2023-08-25 05:50:40.410761	2023-08-25 06:00:00.930761	4393.66	nan	nan	nan	nan	nan	nan	nan	nan	276.04855649917846	256.9007743860262	798.8999132408507
